region,routing_region,puuid
kr,asia,iZaOS6rKlWwVOBIpCmBGmI6V9NlEMvpKmtgt73aZEein5juuLhjrM5mYHMF2ll0p1YTn03YsoVcJ6g
kr,asia,hc-9p_AYL04qttK-3PJ3Y6cKxxm_Bj7dN-MsjsdXvoU1jNO8KfIOOk0JLHCqcY7d_RqrmX-y588qlA
kr,asia,etgsNK8yDO_JHhsDJAjAPIH8ay0ZoryLygcVWFthcte6h-GY78_5aJ_Gw1dxd5082KsWcJnRrIfU2w
kr,asia,FhRi6FSAnyPmUClKBrotVQJ-LuNBKp72dezNE20sE-mdYgzSx9jzIQJ-D7R7Bz8tuYMA9x-FrwZr1Q
kr,asia,Lws6yOSUsXhANmv1qzKVQODlqZCZ5yGWq_5kS6EpfZOEIK858yNAkoJh2_f1bFVawwprPJKNsQ-iDQ
kr,asia,t_7kNKxZT9ldPstkY39CYHbPxnLiAXtiStUjDGQjfgru4i1yVS8goE6p8m0muKTJUEGFnW7yR08DiA
kr,asia,bjX9eClCqJRLuOKWniaJ0zYtZR6JI94eInyX28Y_qnBtoqcZPtKev4S5MXS9tUtJrcqQ9nYv8RHMSg
kr,asia,_dsT0TwhjpVw4ZiCMSmpbIr9m5ASFz_IYzfgPV6lbS7Vspbg2HH8P4_erH3IHftJFxnMk7ZMx0gVbg
kr,asia,B3FqNWFaF7lcsHN5cQsdAW2IpCveolLh23kRZthgE9SuUNwDHFOAJWLC7SlNW9ot-z7ZQ8TDoARUoA
kr,asia,fmzgVzi2rfW71l95w8oAf7FGFj4zBBKEA54MAuCiWhqz9w49ij4MhLqR1A_LMuD6VtnIpYTJze4u_g
kr,asia,w-kUk8RKfCYm1l_j2dCZO-BgqCsPo437-w5lnIh9ZTu0R4P3X1-gO-OIvFsij5JhFH1Wi0GTK8_BPg
kr,asia,o8Y0bdDwMTu1OySre1AOJ0WPcTeBmaDsq8yqPrGBbufWmN1DXcujNEXvkiSfoopOJWZri1rK8fmUJg
kr,asia,YsYvLNcEbClfJgTggvwC3a0abimqi__PS-44DOfMHuBrlMas1QeLXTlZuV0a02GjbRjzDaEDSzKKLQ
kr,asia,gsJD0aTtN4HRiwx3R3TH_aWF7sW2JTNWyBlkZeSHKZac7RI3sEiXXKv1JzbBb2kXxy7CKJWDf5FWfA
kr,asia,DdL2wuBhGXk8ZEEmndQxlERH9ywcIA_xl15BYdgRF4KK6dRXFeDQOe6-ZacFU_sk_jJbL4-nSSofCQ
kr,asia,7nwLkAACuX0RtWvsuu0y3qM_GmosGQ_-4W_wBFQYr6zGGxD7wAHkN8sxyRxzUVeodUJcR2Xb5Om9fQ
kr,asia,R4BYBPASTyaRW1jha1ZErHmQuVE4IlL4vEzgKdwkCcef81C808lFX1hhCYJxM5fS8W09RTYk0EWjZw
kr,asia,2NRIaAFhUKvct_AGDL9a3IH7laS2KV77sy1ecQ0pWci0qOTmZfLCS92eamwbX7T-_4VSwVtIoccb2g
kr,asia,fBDnxhq0QNgkSrqj-hiTMbtMHG7W3jh0_eK2GHp47WMp1eT6L-j9w3oXlu2mM7WVcHUSkAluMRUGhw
kr,asia,KDLstCSnD6Eft-yjuTBk_BUhNV69gMLJ871Fo0lE0l8A-JVpBM-adcdRmrfSrWuQw1dEuv_qIgC6eA
kr,asia,Ckfc2XaNL5vYnnFd1QePS4POnCfl_h21E-3XA6F7pADUiPZnHD9Ebzz2iogdzTkkKmiL1JleCLR3SA
kr,asia,fvbKs6xPqmoCEDSouux85f5GFQTPt36cV9z_Dk6zMKtHmP18ICT-X7H6sybTdblFMGeSXXiZy1skfw
kr,asia,pp8kiTSVQiiuKFhpYA_zAb8KZZ3GIvytwgpj37W9ERsvC5agw6NvCHGSwpLdo5ENXF2Qj0EYZMZWPg
kr,asia,LC0PG4UqnDxO2K5Z6s0tKYmAWnmNpaeaxxr0aTbiXaZKQ-ylPPA_V4mskaeQyr1c8Pjwh-bf5ghNMQ
kr,asia,Gs4FgxAgNfhsPA9f5ahxU1SWbLOGU8VsHvT8hKhLy3Iil0VCXBr0p8QKDDf9QBwoU-B0Yyj29c67Rg
kr,asia,X2N9luCefy6tgDC682ZFADxqrSK0h1EmEU9N_SfMW8lSdrc_P02ReCYh_OnMoFcoFx3NsLjkH9CDnA
kr,asia,QGW-89qwmTQp4iJg-UazfI3gpLwiR3jGE1D4YBOp9Poh4SxUasyG6HO8l4owSXNvNvN3F47_B0w3pg
kr,asia,f5j3KJVEDHer5Q6ocv0KkV2XTNqYmcsMkoqBbe0AkbgeaSmsTrIY86RUnL2CFop6nksELYrCO-zeaQ
kr,asia,tR1_KyOo9oy3nUb59GfRfWrzWkueA8_AKgaSMXd_KKuV3OM7SsNhn-SXqJ_fts_39ieZ4biNndSA0Q
kr,asia,AmHY7QwoThQ0YiojdmFMpXj2Kwo1NMEcoi2Z4lVDu_-PX38zuJOs-DYqcoJQx1uCOGDEgnTnC90IXw
kr,asia,CLc-7cIcKpc41wPi7_scUicC-kRiiuaEGRFZxq18rvBmXCrImyWoJsid8FjNBk75mx0LF-VW7adrkQ
kr,asia,mbpiTOMU82G4qa567EjD93rCCaaBfDNnrdCbpYqEpZUIssHkDuZRlUvMImXNqTzaZhW9XI5kXtlhQA
