region,routing_region,match_id,puuid,champion,kills,deaths,assists,gold_earned,total_damage_to_champions,vision_score,win
kr,asia,KR_8287384069,5CJDH1xhGhasZoSuc_vBFQbhtCgH9OLRcn2iK64Gbj-sPqbwjiFzwJ6S0PCxPCifqYJwVAW3VCAdFg,Gangplank,0,7,2,7205,13356,0,0
kr,asia,KR_8287384069,2kJSy3RrYMK9qc1qjrrGM7IJhxQbQCvtqI8H0zJ9Jtmd3GBCWCz4pdohFlMMRR--gHr_mwweT5P8AA,Sett,6,7,11,11002,52121,0,0
kr,asia,KR_8287384069,kO8O3I87PE9WT2tfL8i4Yg_Hn_ipHWB1OKjyMq4JwOCjqspWf51PWZ99LqYYr29XSsWooH4BTLd02g,Kaisa,3,6,0,6027,10719,0,0
kr,asia,KR_8287384069,RuPeXZa5O3XwPuEiSjNzowPqSUU2N4p8KEx32v_95vvYXN92zNaLeSNOfNijT7-iaQicTeyi1cXz-A,Xayah,23,6,9,16238,92671,0,1
kr,asia,KR_8287384069,gMjk4PAPyM-KHOvR22noa3nesrKDLqelr1cmCDVEmJCn37gelqmlmjB2ezd84LMyhz3aeu2qq-TCQQ,Jhin,14,4,20,15445,49737,0,1
kr,asia,KR_8287384069,vSBNgsxMyv8shrleW2hgLS-FUq0Bnia9H1qdq19n-SHtl8bibMBs0oOe8aFd_Y1ODmU6LugxnBCHiA,Nami,2,0,36,14661,16651,0,1
kr,asia,KR_8287384069,bM88-RhHSRYRM_XQeVB8Vy3Lrf3CzXQuZljqjvO48vhDsfUxrTVdKJ9TxJ66vS_aVPlyQ8Y8KrXN4g,Yorick,6,9,10,12318,27990,0,0
kr,asia,KR_8287384069,ZyGErktNPpi-rncEyzOxD8kWZIy5kjr9LAu04IL5JSZRNY6a2SFk5pyLVL09vwnnmpUa9axC11PzWQ,Skarner,7,6,11,14015,40750,0,0
kr,asia,KR_8287414281,ylIDziT6fDe24tpc5vKNiVNf4CvpfP3jdxbRgCcxRSGMKKQgbCkmZ2e_OL3ZznYw4TArfuIRwMVCeA,Zaahen,7,4,10,10093,22851,18,1
kr,asia,KR_8287414281,5AvzopaD-BKy1X1eAE2_BsFEUiCQKpmija4X8hyW300mF9nf860o5yvPPMYxwX29cvL-Rg2PQtVPwg,LeeSin,5,7,22,11892,24456,28,1
kr,asia,KR_8287414281,tVT-MSJ4FBAT56PgNCZLjqQNyNF87YLP4loFQgN1l2W43U7w2A8w4gZhIy6Kz3ROJmQ9a6-VwsUG4A,Fizz,15,3,3,14235,20562,19,1
kr,asia,KR_8287414281,RKAZ5gZiDkGLMNIIJgU4f1gRBq2QKgHe5d5fS8Xza9ehnJL1-OXmaQY3JZAtkutKIMtOI12VtBQAbA,Lucian,10,4,15,15510,36786,23,1
kr,asia,KR_8287414281,wpmVGA7V5BoznR1Yigjxr1BlaJcr_CE4BnP6KtGUP3i-1wYit8U8g_utakgFjr-6vOaMVb1MHG7wyA,Yuumi,3,2,23,8187,6912,64,1
kr,asia,KR_8287414281,iZaOS6rKlWwVOBIpCmBGmI6V9NlEMvpKmtgt73aZEein5juuLhjrM5mYHMF2ll0p1YTn03YsoVcJ6g,Vayne,6,9,2,9357,18364,28,0
kr,asia,KR_8287414281,hc-9p_AYL04qttK-3PJ3Y6cKxxm_Bj7dN-MsjsdXvoU1jNO8KfIOOk0JLHCqcY7d_RqrmX-y588qlA,Hecarim,1,10,7,9581,11804,30,0
kr,asia,KR_8287414281,etgsNK8yDO_JHhsDJAjAPIH8ay0ZoryLygcVWFthcte6h-GY78_5aJ_Gw1dxd5082KsWcJnRrIfU2w,Zilean,4,5,6,8569,18675,24,0
kr,asia,KR_8287414281,FhRi6FSAnyPmUClKBrotVQJ-LuNBKp72dezNE20sE-mdYgzSx9jzIQJ-D7R7Bz8tuYMA9x-FrwZr1Q,Jhin,5,7,4,12846,19506,19,0
kr,asia,KR_8287414281,Lws6yOSUsXhANmv1qzKVQODlqZCZ5yGWq_5kS6EpfZOEIK858yNAkoJh2_f1bFVawwprPJKNsQ-iDQ,Camille,3,10,7,7605,13811,61,0
kr,asia,KR_8287399413,t_7kNKxZT9ldPstkY39CYHbPxnLiAXtiStUjDGQjfgru4i1yVS8goE6p8m0muKTJUEGFnW7yR08DiA,Jayce,1,7,4,8672,15165,24,1
kr,asia,KR_8287399413,5AvzopaD-BKy1X1eAE2_BsFEUiCQKpmija4X8hyW300mF9nf860o5yvPPMYxwX29cvL-Rg2PQtVPwg,Nidalee,10,1,7,12940,24788,28,1
kr,asia,KR_8287399413,bjX9eClCqJRLuOKWniaJ0zYtZR6JI94eInyX28Y_qnBtoqcZPtKev4S5MXS9tUtJrcqQ9nYv8RHMSg,Qiyana,3,8,5,9242,10800,21,1
kr,asia,KR_8287399413,_dsT0TwhjpVw4ZiCMSmpbIr9m5ASFz_IYzfgPV6lbS7Vspbg2HH8P4_erH3IHftJFxnMk7ZMx0gVbg,Kaisa,6,3,7,13153,15146,36,1
kr,asia,KR_8287399413,B3FqNWFaF7lcsHN5cQsdAW2IpCveolLh23kRZthgE9SuUNwDHFOAJWLC7SlNW9ot-z7ZQ8TDoARUoA,Braum,0,4,13,6383,4973,82,1
kr,asia,KR_8287399413,fmzgVzi2rfW71l95w8oAf7FGFj4zBBKEA54MAuCiWhqz9w49ij4MhLqR1A_LMuD6VtnIpYTJze4u_g,Rumble,8,3,6,10266,26626,24,0
kr,asia,KR_8287399413,w-kUk8RKfCYm1l_j2dCZO-BgqCsPo437-w5lnIh9ZTu0R4P3X1-gO-OIvFsij5JhFH1Wi0GTK8_BPg,Rengar,4,4,7,9762,10674,25,0
kr,asia,KR_8287399413,o8Y0bdDwMTu1OySre1AOJ0WPcTeBmaDsq8yqPrGBbufWmN1DXcujNEXvkiSfoopOJWZri1rK8fmUJg,Zoe,7,5,4,10987,23772,28,0
kr,asia,KR_8287399413,YsYvLNcEbClfJgTggvwC3a0abimqi__PS-44DOfMHuBrlMas1QeLXTlZuV0a02GjbRjzDaEDSzKKLQ,Jhin,1,4,5,8833,12121,16,0
kr,asia,KR_8287399413,gsJD0aTtN4HRiwx3R3TH_aWF7sW2JTNWyBlkZeSHKZac7RI3sEiXXKv1JzbBb2kXxy7CKJWDf5FWfA,Skarner,2,4,8,6472,9593,80,0
kr,asia,KR_8287114878,DdL2wuBhGXk8ZEEmndQxlERH9ywcIA_xl15BYdgRF4KK6dRXFeDQOe6-ZacFU_sk_jJbL4-nSSofCQ,KSante,6,6,12,12886,32348,48,0
kr,asia,KR_8287114878,7nwLkAACuX0RtWvsuu0y3qM_GmosGQ_-4W_wBFQYr6zGGxD7wAHkN8sxyRxzUVeodUJcR2Xb5Om9fQ,Sylas,7,10,11,12718,23443,48,0
kr,asia,KR_8287114878,R4BYBPASTyaRW1jha1ZErHmQuVE4IlL4vEzgKdwkCcef81C808lFX1hhCYJxM5fS8W09RTYk0EWjZw,Lissandra,4,5,9,12428,22961,43,0
kr,asia,KR_8287114878,2NRIaAFhUKvct_AGDL9a3IH7laS2KV77sy1ecQ0pWci0qOTmZfLCS92eamwbX7T-_4VSwVtIoccb2g,Jhin,13,7,7,17828,40510,37,0
kr,asia,KR_8287114878,fBDnxhq0QNgkSrqj-hiTMbtMHG7W3jh0_eK2GHp47WMp1eT6L-j9w3oXlu2mM7WVcHUSkAluMRUGhw,Bard,2,8,18,8878,11749,118,0
kr,asia,KR_8287114878,KDLstCSnD6Eft-yjuTBk_BUhNV69gMLJ871Fo0lE0l8A-JVpBM-adcdRmrfSrWuQw1dEuv_qIgC6eA,Pantheon,3,8,11,11664,28757,36,1
kr,asia,KR_8287114878,Ckfc2XaNL5vYnnFd1QePS4POnCfl_h21E-3XA6F7pADUiPZnHD9Ebzz2iogdzTkkKmiL1JleCLR3SA,LeeSin,14,5,9,17902,42393,49,1
kr,asia,KR_8287114878,fvbKs6xPqmoCEDSouux85f5GFQTPt36cV9z_Dk6zMKtHmP18ICT-X7H6sybTdblFMGeSXXiZy1skfw,Orianna,2,6,20,14415,36862,29,1
kr,asia,KR_8287114878,pp8kiTSVQiiuKFhpYA_zAb8KZZ3GIvytwgpj37W9ERsvC5agw6NvCHGSwpLdo5ENXF2Qj0EYZMZWPg,Caitlyn,16,5,4,19644,44285,32,1
kr,asia,KR_8287114878,LC0PG4UqnDxO2K5Z6s0tKYmAWnmNpaeaxxr0aTbiXaZKQ-ylPPA_V4mskaeQyr1c8Pjwh-bf5ghNMQ,Elise,1,8,17,10215,19298,154,1
kr,asia,KR_8287021948,Gs4FgxAgNfhsPA9f5ahxU1SWbLOGU8VsHvT8hKhLy3Iil0VCXBr0p8QKDDf9QBwoU-B0Yyj29c67Rg,DrMundo,0,5,2,6727,18241,16,0
kr,asia,KR_8287021948,hc-9p_AYL04qttK-3PJ3Y6cKxxm_Bj7dN-MsjsdXvoU1jNO8KfIOOk0JLHCqcY7d_RqrmX-y588qlA,Sylas,9,10,3,12060,22084,17,0
kr,asia,KR_8287021948,X2N9luCefy6tgDC682ZFADxqrSK0h1EmEU9N_SfMW8lSdrc_P02ReCYh_OnMoFcoFx3NsLjkH9CDnA,Yone,1,12,3,7579,18973,9,0
kr,asia,KR_8287021948,QGW-89qwmTQp4iJg-UazfI3gpLwiR3jGE1D4YBOp9Poh4SxUasyG6HO8l4owSXNvNvN3F47_B0w3pg,Ashe,6,6,1,9571,18925,20,0
kr,asia,KR_8287021948,f5j3KJVEDHer5Q6ocv0KkV2XTNqYmcsMkoqBbe0AkbgeaSmsTrIY86RUnL2CFop6nksELYrCO-zeaQ,Pyke,2,11,7,6797,9825,56,0
kr,asia,KR_8287021948,tR1_KyOo9oy3nUb59GfRfWrzWkueA8_AKgaSMXd_KKuV3OM7SsNhn-SXqJ_fts_39ieZ4biNndSA0Q,Zaahen,4,2,5,10205,25490,24,1
kr,asia,KR_8287021948,AmHY7QwoThQ0YiojdmFMpXj2Kwo1NMEcoi2Z4lVDu_-PX38zuJOs-DYqcoJQx1uCOGDEgnTnC90IXw,Nidalee,15,1,4,13206,22472,24,1
kr,asia,KR_8287021948,fvbKs6xPqmoCEDSouux85f5GFQTPt36cV9z_Dk6zMKtHmP18ICT-X7H6sybTdblFMGeSXXiZy1skfw,Renekton,14,3,6,13817,34167,12,1
kr,asia,KR_8287021948,CLc-7cIcKpc41wPi7_scUicC-kRiiuaEGRFZxq18rvBmXCrImyWoJsid8FjNBk75mx0LF-VW7adrkQ,Orianna,3,8,7,8821,11979,8,1
kr,asia,KR_8287021948,mbpiTOMU82G4qa567EjD93rCCaaBfDNnrdCbpYqEpZUIssHkDuZRlUvMImXNqTzaZhW9XI5kXtlhQA,Rell,8,4,15,9024,9064,64,1
