region,routing_region,match_id,puuid,champion,kills,deaths,assists,gold_earned,total_damage_to_champions,vision_score,win
jp1,asia,JP1_591407165,HpL3skuuMplGkLCUNwecxA_VR8Yo_hd0KUQZxylHIzMXzrenEkYNlliJN7neq_L_SS2OIn55MhGuAA,Yasuo,12,9,15,23047,46330,38,1
jp1,asia,JP1_591407165,4d_JoCcjuoqZMtkL6ck-YI8o1satoEWjButSoa41En6ZQNNb_SV_2iXSWSUeoXCTui7lZcR0bvBADA,Alistar,1,11,30,12740,13308,139,1
jp1,asia,JP1_591390797,8nzV8XkGoEJ7PhxxWrF-JFe8cawPRnlOiwyEgA4JPCN1YToFibh2R78nGZxEZsoRtNeiWnkDnwyTOw,Aatrox,5,8,11,10989,30004,22,1
jp1,asia,JP1_591390797,e1Zrve-dPqWHsxFeVOg0eAyD-WxfvlLj3oqwxxCtF8GmmI7IHdP3wPyAH990MIs7rtbEbLfOm-G2Ig,Graves,12,4,15,16300,32587,31,1
jp1,asia,JP1_591390797,Uc0pjBoPrP5b8xVfk8HDfO02kiBMtQ-G8kOeV7hBaIH_3sExV7QjsMnPhL3tuo-s4zQhj6FiO4oIuA,AurelionSol,13,2,11,13318,22943,28,1
jp1,asia,JP1_591390797,0F3kJN28K1nr3u9PJhLrd6eMy67y0aurt5v-wdziL4f91PV5EIg_nrtElp0WhRbaJfMSYGlujqFFjg,Ashe,3,5,15,12774,25567,39,1
jp1,asia,JP1_591390797,3P8FDDfXoEHk5LM4zOIXCHHwUYfBk3mXeOxD8k5qoeZY5zuasQeOdMNHUC-yHN0c9tM-LRaB8eGRmw,Zilean,0,3,25,8483,9248,83,1
jp1,asia,JP1_591390797,1warlW_6PMThlMXHLMEjUDN16nRpMaLd6QH96Zk1vJhP8XDA7V65ohoCkTKhmEEdj2MoVMKCLiwfFw,Renekton,2,7,8,9913,22893,14,0
jp1,asia,JP1_591390797,4d_JoCcjuoqZMtkL6ck-YI8o1satoEWjButSoa41En6ZQNNb_SV_2iXSWSUeoXCTui7lZcR0bvBADA,Jayce,15,5,2,17153,37840,41,0
jp1,asia,JP1_591390797,08ZWkfCJaKQb_F1qXOKJ6n0REsUyqCmY8Q_M_xWPGJkg9SKmmNimZISW4XKFeBhGsAGHdWh6_JJQqQ,Ryze,2,6,6,10763,22103,21,0
jp1,asia,JP1_591390797,kM_jMFec74zlPdVQUYHEoUZykjxW1tH9hPPHC_NFwmfsvX0sl-Mir5JaYSOJ0devqI8IWFJDn9iU_g,Mel,3,8,5,10352,18985,35,0
jp1,asia,JP1_591390797,wms4OdTEu_CHuOFtmzUnjWzceskjvk8j66Ta9r67RceepGpXBZw1gbyQ4Awk5-BLIW0TAi3Gwkgo2g,Leona,0,7,7,6593,7998,93,0
jp1,asia,JP1_591437853,xNpgXjJttbNSEv1h6G5IotVMEkR2N9yUuolNOr2eYIx0ottKS01SET0tlMX5O3L2wTQdiD4x2jiOSw,Darius,1,6,1,5782,14685,10,1
jp1,asia,JP1_591437853,aRqcY1ex2NK0wz397Xd-p4fXY3Ziuoxht6KVkSRZ3tG5K1Zk3mJyQsqDbQG8YMJK-X_ZfH_lAfDvBw,Sylas,6,1,3,8517,10381,21,1
jp1,asia,JP1_591437853,bqFas0-StnqSdLCS-9pyRfQjBIHAlAnNM9R_3VuleSG0GGzdaOYn-UbdLbJS_aziyHoJQqhNTK0UOA,Yasuo,2,3,3,6546,7444,13,1
jp1,asia,JP1_591437853,m09wZFRV7_35myMTURq9hlwxifOyGg_BsAE7ok7Ef6KKT4rV4JJHRk5ZuoKYo5aT_E9krnOQptt-Sw,Senna,4,0,4,7187,10582,12,1
jp1,asia,JP1_591437853,M8F_apcseCouKOBGn2fMO1LB2-lTcVna8TL05tRIuOa1A7LB_68cvrz2tHYCWoECLEhXkUsBtItl2w,Alistar,1,1,8,4761,3675,46,1
jp1,asia,JP1_591437853,iaGbnwQR_HYVU-g7aJqFxGUkchAgY7pAv8zR9lUgM1svdb337x50IPgzQzRSfwIYvgTkoEqHv7RoRw,DrMundo,3,1,2,7324,13023,7,0
jp1,asia,JP1_591437853,11ZsGfcCYd2ffwbudz-ihn6saxmfoyLXJNu7rfxkkGE_oaQc2zRWIgslo7itwpOxsGaChTgdHPxzVQ,Talon,2,4,4,7592,8746,33,0
jp1,asia,JP1_591437853,0VaCj5T8LKCQ-b5kpj9iOHPYJ5Z8FrJnl-T5Z33XK9aEq_DcLdWkZounwSvH36is8gXUbGadkJJ92w,Katarina,6,3,0,6738,9837,8,0
jp1,asia,JP1_591437853,6eJ_-DJydkIdwEzu9cpET2ZC9jIeCjHw--_uJq4L5gZWRCifnVeTboQFnEofigIZqBBbZU3mTrRUWQ,Lucian,0,3,0,5825,2915,9,0
jp1,asia,JP1_591437853,XI5hDevTF4CVR29SU3Ssr4TV5MK6oG-KJ8CN9HdNG9pBz50oRzB1ExleXU3XpE_4SSZYErQSszP7JA,Camille,0,3,4,4234,6284,31,0
jp1,asia,JP1_590551384,0DhEEWrhgGHaWre2MGJoQxVWglucDAfCg3OXZrgtgIDyLoQ97_8LcG8kw5J8ckK9dW0MtcbUkO4o9w,Sion,5,14,13,11889,22370,42,1
jp1,asia,JP1_590551384,11ZsGfcCYd2ffwbudz-ihn6saxmfoyLXJNu7rfxkkGE_oaQc2zRWIgslo7itwpOxsGaChTgdHPxzVQ,Talon,15,6,11,20294,35229,55,1
jp1,asia,JP1_590551384,rKVsXfcYqyK-FoOzysgAH2NkHIFMXNsKYFc5i9S1sbKD4ixW0EnCgPtecCBpNpXyUFCwP4GZNRZGSQ,Xerath,11,3,16,15862,42746,17,1
jp1,asia,JP1_590551384,1MNv_E0-VlxovWsyMa1qU6y734volb-0_da7ZfwuaTcPO3XC08R9b-YwLbIiDUIojrvymFPOrti6XA,Ezreal,12,13,16,18061,35521,26,1
jp1,asia,JP1_590551384,14kHRijEZ2oZtPQN4Y2s85ux4kjfxbPEseAkA9zdyTmbiTVsHDUAs38odFfuA5Xy_IL9Ka42fkFs1A,Zoe,11,9,20,12894,26733,127,1
jp1,asia,JP1_590551384,0pyYNA8kuBrd9jWPnT6AkzXR1bYOLbPHQr94vhmcNIylSvTWO271_W6jcVibSJY_BHpXObGlMufGMA,Locke,14,10,9,15789,44080,26,0
jp1,asia,JP1_590551384,p5_CSB9QymlZy-eZo-8PkXD2-8hl7BHRqQf6N20Y8YroYiBbdZGQzniZxC0l9N7H138aUxsa9oQDBA,Rengar,13,8,9,18410,37403,38,0
jp1,asia,JP1_590551384,6VfOOIJ_xYeRNBxbU0cuiSk5CavKgiGkkeg3GKlOVpxHb70mDF8XQPPcQ9Ngs3GKzQfDwRJVi1jeKA,Viktor,9,12,9,14794,42257,34,0
jp1,asia,JP1_590551384,XBjgjQ9ARynOvOvS1jPEpbq24BjDLh7K9C2q2SdsmUUqabGIhSLRzGPMevoj8XNMC21pv8adEhRH4A,Ashe,4,12,13,14982,29648,39,0
jp1,asia,JP1_590551384,k7p3Z1asGk8p1U6zQWZZMXNfCKTQaZHY5faXS9kHXzoC3tOIKqBYnty9hiZLfHzKP6GV8tiZCs2Lag,Pyke,5,12,10,11632,8476,156,0
