region,routing_region,match_id,puuid,champion,kills,deaths,assists,gold_earned,total_damage_to_champions,vision_score,win
tr1,europe,TR1_1724988101,RUEY6DMTBILExYlr6np-6PA_C52DRjz7kjoJKz-0F_SjA1AjBv5IXGBTHEw2vhxpaDDqMxCnYEszBQ,DrMundo,4,7,2,6264,14486,0,0
tr1,europe,TR1_1724988101,s0iA_hTO1iCWfRGYvlFnAcLztRzj-lyc_F6RrHUWQhKdiEY68Wydi-JAdr3mm46VUZrZRX1ZBELluA,Illaoi,1,7,3,6302,10838,0,0
tr1,europe,TR1_1724988101,Vr85949f3xXdBmKqXVdA7A4m_ubB13NFhLH-N9BXOxa1uEC8uOOP5WyKXuKf7PtbVifCbyVQApdhWA,Draven,7,10,14,17932,39707,0,1
tr1,europe,TR1_1724988101,yYE0Dn_MsZv5pKfFzgUi1J1NQMyqLWnnMu-PzIeBO8gTdqMyfhPM-Nt19XRphQtrNqCQsmDnWKXHnQ,Viego,20,5,7,25255,73148,0,1
tr1,europe,TR1_1724988101,5N2zycnUzN2fR9iDzKoc_sve-RW8hDzuhs5UNp6YWA4u6xsvFMTl20977a5_WFz_g1JtT4csHn-1kQ,Karma,2,5,29,16765,15271,0,1
tr1,europe,TR1_1724988101,JopIKUaRXBaiqEq-6CY6jjWinOBIDZcLEw_mZBcBIc8mrUn0ujV_nZ-u8V4gG4yd8zQHe_QOFoA3jQ,Singed,1,7,2,6250,12263,0,0
tr1,europe,TR1_1724988101,Z90f8Usx0IM5lpWnoER0HjOVOf5-T_CDbJ1mdVAVZ8MxrVHqjh6sFxCe4Cf8_ueQuvBk4PQZCZOk1A,Leona,12,6,13,12274,45027,0,0
tr1,europe,TR1_1724988101,EOyL37QShWxmvkqTg1_73HwKN4M6Yggo8VtqasMxifqc-DL-gL32ody3TmfxQCPv4mHUpjhREdWpeQ,Sejuani,0,6,2,6114,11911,0,0
tr1,europe,TR1_1725259800,T5EfmJXFbfN0igs6rzk0DkmCb8jaeWxA-YaWVZsiP4M-ysJUK0Yl4KEJTslZwSlHnbX8dm6ecABd9Q,Gragas,2,9,5,9005,12379,16,0
tr1,europe,TR1_1725259800,CV_GlPGtuUhPpjQN0WJpcfLbChyJICTalPJgm76xYnC-62WLXu--kjOj9PcYuTJsfkNrbl65f1OtOQ,Chogath,15,8,5,16402,29841,39,0
tr1,europe,TR1_1725259800,gJkPiU2d5RCaThUI6aZXfRELJNL9xOPKHaZ6b8WoX_MAUR2R0mhWKb-e01BajeecA_72ryRdVNDlZw,Zoe,3,8,7,10228,20192,24,0
tr1,europe,TR1_1725259800,Lu_aBYsHrbczpDqQaqskjbhTjaPy5Rv3wD45W93poi_xylPz-eFMKqCA0eBL2gUEgL3QpBNUk-Da6Q,Ezreal,4,8,5,12330,22430,14,0
tr1,europe,TR1_1725259800,FqJVG4UvyhbAR5vUbZILOJQC6u-x_5d_1trjOTsep_GAjhLncstDVfcuRnEKRrql7GX8fFp-wrJwlQ,Velkoz,3,10,10,8893,21327,76,0
tr1,europe,TR1_1725259800,ehKcKqkNrpyz6cR7F_lclVA8GvUrWQDq-Ns2PDipaj_v48M7GsAto3yiIrkgzDpMxS-OPjbnxl4FZQ,Gangplank,8,6,9,15334,39061,34,1
tr1,europe,TR1_1725259800,3ngExFRUyjtNZKl-tPe_vqpCfDErbsxT-k7wa7v4OcqyZAMxuqrxoOqCK7MkM-u71spr7K-Zz-LE4g,Kayn,8,5,6,15164,22176,33,1
tr1,europe,TR1_1725259800,whfrzOIpg5-dR9sO-52kGT438oM448DQM7iUslxiSnrclUcZNcHgrKKnaH8MGSQf-PJ2baYkAM-HBg,Syndra,11,7,8,13854,35765,23,1
tr1,europe,TR1_1725259800,8tG9TcJiMUXYomESFtVbxOKuBLf0xtp_2hSRvzKWSdvbWf7vtxScdBNPaUvF68leypQ87wSERUI2wA,Kalista,11,2,9,17973,33517,28,1
tr1,europe,TR1_1725259800,0n4r9S75Dn2UFkaDUgwUC9OV6DK3Rz9tkCCrmGvIvjLzVxXeV59jCdWe37neyOBLFoBO9sg1SkH3zw,Pyke,5,7,11,11243,14796,95,1
tr1,europe,TR1_1725247871,SaPUIPWprrZJdD13vnSPcXcrVjlOUDAsuddT7b_VI8s4-tktD9hL7tXYfTXWZ7a2VqHVVKFJ1jYvdA,Ambessa,3,4,1,7096,8677,14,0
tr1,europe,TR1_1725247871,CV_GlPGtuUhPpjQN0WJpcfLbChyJICTalPJgm76xYnC-62WLXu--kjOj9PcYuTJsfkNrbl65f1OtOQ,Chogath,3,5,1,6892,8792,22,0
tr1,europe,TR1_1725247871,dTx0UY-OtIljUT06giayQwdv4tlYZrCxwgJp-zceONUiFP80FV3Qt5EvoCxGUqWGvc2_4RPryxT4DQ,Zed,0,7,2,6493,9547,8,0
