region,routing_region,puuid
na1,americas,TtCnSuljKghmRNzbr5uWc03FN_uaoC1Cqggr_rmPq8fUcXbEsIYneXY2B8P2OhynCz5kd8zcfI-XYw
na1,americas,jiAC3sehP2DF4LJEKUanRtpuWs7HMoDfMelCh-Oys7LvysjGgAoKMhg1Tcb26Kx3wxJP1S2Lv6vo_g
na1,americas,hvlNpQHW4c-vWq3cLUYoIoU5GQwf__06C87t8Dyfl3xKYg_xW6ZEHGHRO388eO7UjyvwkVpx0ybrJQ
na1,americas,_419KjsLtkZz5odOtccmxGDgk3LzTd7k7naftWLEZa4gE0msqfaOC-HoAONelkAlyDKJPVYJk_0qrQ
na1,americas,SUaACudhm8MBUxn3tREFj9x5wPUKwF9R7Pd8yhv-CJpxsplZqeROQthNbBFiY3JH1zm19Z28xH98zQ
na1,americas,bNHWD2DNmLaUmxMYk560P_imdxKxEaRDBhsFiiKnD39vQRj77RH_QjmTldTa1uVUp4h7XArHrCqg4Q
na1,americas,4Gk0nQ2Y2bovReFvoBI1zjjH-EkewTntZy4lbnmjSe-M87gNxSTXR31YsVtdQ3UPmEaHjel_owF2bw
na1,americas,KSO3ObPb2gOy4SIWE2OiJcsZudlV0FJd-cGU1vaebzaGKklvDLUMJw0DCh4Lw6aq9XXM37gzqe3Kwg
na1,americas,I_FU1Hthjt3y_mbYLZV1ilibe_dNIN8AinPkvSQnGDBPVCHedgmOsptu5vyA7lIpb7t3dVthqAbasQ
na1,americas,bQB-lm_ILS4KOAEr1ADH_gNQPBTaLs5wClWEv5eT5vogAVF1i-Vmc0nbJk4124QTHn9Mb-rK-XhUlg
na1,americas,-xgTkYg2hRhMdIyFE90P32-sQ-Jgk1nhKHSrBYeSWPsNSG4Y-SZTyBoyw1I_fmZmm2UdiPj_2ChT7w
na1,americas,bvY35O6tpc8_dqfiCAlvsh53JDDEnLrosKd1an01P69jmTJdg-1eUaLbG4i8uGy6sbPDFCuYhdjvhg
na1,americas,wlEnvMGhi7X5nPMxBHAn8OUXnYrigQIHDkwrACip41h4vz0v6cHWgvULJREQ6cnnrxhXj4LGi1NeSQ
na1,americas,0dRQCnJbTtAFJR4KlSZKdqCnmp31H2itn8504IyAjbsbeV1ypzvinVYFwVeMUf5V1XvdSHEEWF4Hwg
na1,americas,5tCA1WZxiVXrhxA618aywiE4fa63ZrRKEPkarmBIuw1F5Q3HxnD8Bit8oIGmyDL0DYeJ4eOXb6LKqA
na1,americas,KcTn7P4KumixU0JlihnBWUfS8HejCne1roxnaL24tPZTGgW5THDOPk-MOwpJUIuidub7CciF27voIQ
na1,americas,Zrjwzqh2oEaDZGjeYuWTIXFfBoNJxGBYEIeGs-GmeN5deLZ2jmJZeW-Jr2a2bH8kvoLUKDjQ1tSP6w
