region,routing_region,match_id,puuid,champion,kills,deaths,assists,gold_earned,total_damage_to_champions,vision_score,win
la2,americas,LA2_1606757528,b3zEULT9O3ziuXI3KnLpu_tfGJ4-pjQH96cnHVYc2Q-C_5GMOX1bg8jxoSVTVdwRrGTIRo9qwndNmA,Kayle,0,8,4,9386,9701,22,0
la2,americas,LA2_1606757528,hJ1C9kLW71SQrCTg_yt4p6FzaI_BVMgtfzI9KzxEQrlKWbhR8MnxNSf_ghCt1dGolpTl9DamLRzVVQ,Viego,3,9,2,10317,12312,20,0
la2,americas,LA2_1606757528,6FrtIvECSj4KL77My_SlQjsUiurR3TYiQclH1FPRhN7tfcA0IGIWljuTQ-PC_xSugAya1t4c-ciVDA,Aurora,6,2,6,11841,22325,13,0
la2,americas,LA2_1606757528,bzBBYzarC1GL9uJIEnxJYI6BWJOeAQYzYkuinen0VVNuxqJ9-VGfccftDFJExkW7aQwtCbnuAT1xww,Katarina,7,10,2,9892,20775,21,0
la2,americas,LA2_1606757528,cgRt24vG9D7eWgWWXQtYvJ4eHBcazZuFs5hN_bAMogTZoMHKGueGVK78LlnrJwLJ1YxcehcVXJ1fZA,Bard,0,9,10,7419,6060,103,0
la2,americas,LA2_1606757528,dujRgCPz8mnv061w9dVQkfqw86coIdEHL2t3u_JVY9kUCVAfdhqaUBViW4SPixZN_awd9zgVTwiUfQ,Ornn,6,1,7,11126,14950,22,1
la2,americas,LA2_1606757528,6tShFnOC2g6QQQDT1DJRRTUMgjVrugootWLh6JNzClPUTxEo8fPwuvQXOd1s_zoeLW0tKkGpGweEVg,LeeSin,9,2,8,13691,13623,33,1
la2,americas,LA2_1606757528,PYSt4GjDzPo9o3OxoCWEmHXLKR4GtNItlF5Gfo9FMTdkinOY2ExqXEQl_vKOgoDZ3av19aTtai2K8g,Sylas,3,6,9,9445,20327,22,1
la2,americas,LA2_1606757528,TQtym-YpNLj4oW-iStd7nI_mcmlM1SvGvH_g4PVKMs87xtB36wa8DB6X9aZ5bJ6q0yYVEhkXVqMa1g,Mel,15,1,8,15893,28210,14,1
la2,americas,LA2_1606757528,pHq37AxcAeoWYiaMYtQBbo-GXfa6ZXPC_McGee_zFrFUki3XHIEYowGNtABtnTUQ9sbhv3cjErLv_w,Camille,5,6,17,10597,16037,89,1
la2,americas,LA2_1606743837,GxZ-xTA_RWSluffmDA0qFAVSQM46x4g7FGvNPcNkapdyWJiSoHZlnMR2kfAuQOVhh0c9JzNUA3G9_g,Taliyah,10,5,10,12365,30753,22,1
la2,americas,LA2_1606743837,2BML-36Vjm_wo6PA70d4JAMtEiIAZrbeiookb1XG-mNTKxT8JwJtZv3o0rcct82IhUox_AOB0kauvw,RekSai,8,6,12,13946,18757,32,1
la2,americas,LA2_1606743837,6FrtIvECSj4KL77My_SlQjsUiurR3TYiQclH1FPRhN7tfcA0IGIWljuTQ-PC_xSugAya1t4c-ciVDA,Irelia,9,6,8,14966,24951,22,1
la2,americas,LA2_1606743837,Cc2N14lIVdYdi0iHP4SPkn0AG5EMfI4gH7bvDtruOG4BlSNIA2xymMRrvJz8l8Wm14YvF55TXKnOdQ,Ashe,4,9,12,11797,21491,10,1
la2,americas,LA2_1606743837,WsGgPsBD0IhLEfo6rCFqOPq5s-ZIo2e8NULgrmepdVxmiDz3i0ybPEn6cojwgWxv39XbfHGs0sc_lQ,Milio,0,1,23,8286,5797,100,1
la2,americas,LA2_1606743837,eVn_o9_I5TsX0icukZtMqQ7_-PUG6fkQxeDoTWfb2t139-nlFuVCIcvyJJYzi-YON3de_oTiPjFsDQ,Malphite,1,8,2,8043,9184,10,0
la2,americas,LA2_1606743837,4L0EEsoKuVNBda1GLn_vewU8tsm-59thnjnYD--vPOoozVTRhXZnXDFYzvDnf9jHukYeeXYt_w3fMg,Talon,10,8,4,12423,20890,43,0
la2,americas,LA2_1606743837,xD3lD-KszbnBWWg-UOejiDRkwxFj_oG2XZq1uk8t8NP1r9IKLITsHIgyGTdsKQTg2F3wiKGacGJqew,Zoe,7,4,9,10691,22574,34,0
la2,americas,LA2_1606743837,TQtym-YpNLj4oW-iStd7nI_mcmlM1SvGvH_g4PVKMs87xtB36wa8DB6X9aZ5bJ6q0yYVEhkXVqMa1g,Mel,9,3,3,14221,29840,22,0
la2,americas,LA2_1606743837,pHq37AxcAeoWYiaMYtQBbo-GXfa6ZXPC_McGee_zFrFUki3XHIEYowGNtABtnTUQ9sbhv3cjErLv_w,Nautilus,0,8,14,7977,8411,86,0
la2,americas,LA2_1607157979,MHJAqaVcht93hsZeFnIj_n9LZiPABJa6ZWUnQKgiTXiDcb-wehoa0I2RVjPdy-HOdGBVIXMB3CkZHg,Karthus,8,8,7,12768,50420,0,0
la2,americas,LA2_1607157979,d4CgRw27i5Mnwot0Dzj2f7fcGUREkegnNrIz4Us1TJBljcC48LXig3qPedGLw4X8qbRK-ApzOaLNAg,Lucian,6,12,12,13033,49870,0,0
